pair,Class,Method,model_chatgpt_4o,model_chatgpt_o3,model_claude3_7,model_deepseek_r1_,model_gemini_2_5_pro_preview_05_06,model_grok3,model_llama4,model_mistral,model_qwen3
collectionrequest::submitrequest,collectionrequest,submitrequest,0,0,0,0,0,0,0,0,1
collectionrequest::updatecollectiondetails,collectionrequest,updatecollectiondetails,0,0,0,0,1,0,0,0,0
collectionrequest::updatecollectionlocation,collectionrequest,updatecollectionlocation,0,0,1,0,0,0,0,0,0
collectionrequest::updatestatus,collectionrequest,updatestatus,0,0,0,0,0,1,0,0,0
collectionrequest::validatecollectiondetails,collectionrequest,validatecollectiondetails,0,0,1,0,0,0,0,0,0
collectionrequest::validatecollectionrequest,collectionrequest,validatecollectionrequest,0,0,1,0,0,0,0,0,0
collectionrequest::validatevehicleassignment,collectionrequest,validatevehicleassignment,0,0,0,1,0,0,0,0,0
collectionrequest::validatevehiclecapacity,collectionrequest,validatevehiclecapacity,0,0,0,1,0,0,0,0,0
collectionrequest::validatevehiclecompatability,collectionrequest,validatevehiclecompatability,0,0,0,1,0,0,0,0,0
collectionrequest::validatevehiclesuitability,collectionrequest,validatevehiclesuitability,0,0,0,0,0,0,0,0,1
collectionrequest::validatevehicletype,collectionrequest,validatevehicletype,0,0,0,1,0,0,0,0,0
collectionrequest::viewdetails,collectionrequest,viewdetails,0,0,0,0,0,1,0,0,0
coordinates::calculatedistance,coordinates,calculatedistance,0,0,1,1,0,0,1,0,0
coordinates::distanceto,coordinates,distanceto,0,1,0,0,0,0,0,0,0
coordinates::isvalid,coordinates,isvalid,0,0,1,0,0,0,0,0,0
coordinates::validatecoordinates,coordinates,validatecoordinates,0,0,1,0,0,0,0,0,0
notificationservice::alertprovider,notificationservice,alertprovider,1,0,0,0,0,0,0,0,0
notificationservice::alertrequestaccepted,notificationservice,alertrequestaccepted,0,0,0,1,0,0,0,0,0
notificationservice::alertrequestupdate,notificationservice,alertrequestupdate,0,0,0,1,0,0,0,0,0
notificationservice::alertserviceprovider,notificationservice,alertserviceprovider,0,0,1,0,0,0,0,1,0
notificationservice::dispatchpasswordreset,notificationservice,dispatchpasswordreset,0,0,0,1,0,0,0,0,0
notificationservice::generatenotification,notificationservice,generatenotification,0,0,0,1,0,0,0,0,0
notificationservice::generateverificationmessage,notificationservice,generateverificationmessage,0,0,0,1,0,0,0,0,0
notificationservice::notifyaccountdeactivated,notificationservice,notifyaccountdeactivated,0,1,0,0,0,0,0,0,0
notificationservice::notifyaccountdeactivation,notificationservice,notifyaccountdeactivation,1,0,1,0,0,0,0,0,0
notificationservice::notifycancellation,notificationservice,notifycancellation,0,0,0,0,0,0,0,0,1
notificationservice::notifydeactivation,notificationservice,notifydeactivation,1,0,0,0,0,0,0,0,0
notificationservice::notifynewrequest,notificationservice,notifynewrequest,0,0,1,0,0,0,0,0,0
notificationservice::notifypasswordreset,notificationservice,notifypasswordreset,0,0,0,1,0,0,0,0,0
notificationservice::notifyprovider,notificationservice,notifyprovider,1,0,0,0,0,1,0,0,0
notificationservice::notifyproviderchange,notificationservice,notifyproviderchange,0,0,0,0,0,1,0,0,0
notificationservice::notifyprovidernewrequest,notificationservice,notifyprovidernewrequest,0,0,0,0,1,0,0,0,0
notificationservice::notifyproviderprofilechange,notificationservice,notifyproviderprofilechange,0,0,0,0,1,0,0,0,0
notificationservice::notifyprovidersofnewrequest,notificationservice,notifyprovidersofnewrequest,0,0,0,0,1,0,0,0,0
notificationservice::notifyrequestacceptance,notificationservice,notifyrequestacceptance,0,0,0,0,0,0,0,0,1
notificationservice::notifyrequestaccepted,notificationservice,notifyrequestaccepted,1,1,1,0,1,0,0,0,1
notificationservice::notifyrequestcancelled,notificationservice,notifyrequestcancelled,0,0,0,0,1,0,0,0,0
notificationservice::notifyrequestcompleted,notificationservice,notifyrequestcompleted,0,0,0,0,1,0,0,0,0
notificationservice::notifyrequeststatuschange,notificationservice,notifyrequeststatuschange,0,0,0,1,0,0,0,0,0
notificationservice::notifyserviceacceptance,notificationservice,notifyserviceacceptance,0,0,0,0,0,0,0,0,1
notificationservice::notifyserviceprovider,notificationservice,notifyserviceprovider,0,0,1,0,0,0,1,0,1
notificationservice::notifyservicerequestupdate,notificationservice,notifyservicerequestupdate,0,0,1,0,0,0,0,0,0
notificationservice::notifystatuschange,notificationservice,notifystatuschange,0,0,0,1,0,0,0,0,0
notificationservice::notifytransportaccepted,notificationservice,notifytransportaccepted,0,1,0,0,0,0,0,0,0
notificationservice::notifyuser,notificationservice,notifyuser,0,0,0,0,0,1,1,0,0
notificationservice::notifyuserrequestaccepted,notificationservice,notifyuserrequestaccepted,0,0,0,0,0,1,0,0,0
notificationservice::notifyusertransportaccepted,notificationservice,notifyusertransportaccepted,0,0,0,0,0,1,0,0,0
notificationservice::preparepasswordresettemplate,notificationservice,preparepasswordresettemplate,0,0,0,1,0,0,0,0,0
notificationservice::queueaccountdeactivation,notificationservice,queueaccountdeactivation,0,1,0,0,0,0,0,0,0
notificationservice::queuedispatchalert,notificationservice,queuedispatchalert,0,1,0,0,0,0,0,0,0
notificationservice::queuepasswordreset,notificationservice,queuepasswordreset,0,1,0,0,0,0,0,0,0
notificationservice::queuepasswordresetconfirm,notificationservice,queuepasswordresetconfirm,0,1,0,0,0,0,0,0,0
notificationservice::queueregistrationsuccess,notificationservice,queueregistrationsuccess,0,1,0,0,0,0,0,0,0
notificationservice::queuerequestaccepted,notificationservice,queuerequestaccepted,0,1,0,0,0,0,0,0,0
notificationservice::queueverificationemail,notificationservice,queueverificationemail,0,1,0,0,0,0,0,0,0
notificationservice::selectnotificationchannel,notificationservice,selectnotificationchannel,0,0,1,0,0,0,0,0,0
notificationservice::sendaccountconfirmation,notificationservice,sendaccountconfirmation,0,0,0,1,0,0,0,0,0
notificationservice::sendaccountdeactivation,notificationservice,sendaccountdeactivation,0,1,0,0,0,0,0,0,0
notificationservice::sendaccountdeactivationconfirmation,notificationservice,sendaccountdeactivationconfirmation,0,0,1,0,1,1,0,0,0
notificationservice::sendaccountdeactivationemail,notificationservice,sendaccountdeactivationemail,0,1,0,0,0,1,0,0,0
notificationservice::sendaccountdeactivationnotice,notificationservice,sendaccountdeactivationnotice,1,0,0,0,0,0,0,0,0
notificationservice::sendaccountdeactivationnotification,notificationservice,sendaccountdeactivationnotification,0,0,0,0,1,0,0,0,0
notificationservice::sendaccountlockednotification,notificationservice,sendaccountlockednotification,0,0,0,0,1,0,0,0,0
notificationservice::sendcancellationconfirmation,notificationservice,sendcancellationconfirmation,0,1,0,0,0,0,0,0,0
notificationservice::senddeactivationconfirmation,notificationservice,senddeactivationconfirmation,0,0,1,0,0,1,0,0,1
notificationservice::senddeactivationemail,notificationservice,senddeactivationemail,1,0,0,0,0,0,0,0,0
notificationservice::senddispatchrequestalert,notificationservice,senddispatchrequestalert,0,0,0,0,1,0,0,0,0
notificationservice::sendemailverification,notificationservice,sendemailverification,0,1,1,0,0,1,0,0,1
notificationservice::sendemailverificationnotification,notificationservice,sendemailverificationnotification,0,0,0,0,1,0,0,0,0
notificationservice::sendemailverificationrequest,notificationservice,sendemailverificationrequest,0,0,0,0,1,0,0,0,0
notificationservice::sendnewrequestnotification,notificationservice,sendnewrequestnotification,0,0,0,0,1,0,0,0,0
notificationservice::sendnotification,notificationservice,sendnotification,1,0,1,0,0,1,1,1,1
notificationservice::sendpasswordreset,notificationservice,sendpasswordreset,0,1,0,0,0,0,0,0,0
notificationservice::sendpasswordresetalert,notificationservice,sendpasswordresetalert,0,0,0,0,0,0,0,0,1
notificationservice::sendpasswordresetconfirm,notificationservice,sendpasswordresetconfirm,0,1,0,0,0,0,0,0,0
notificationservice::sendpasswordresetconfirmation,notificationservice,sendpasswordresetconfirmation,0,1,0,0,1,1,0,0,0
notificationservice::sendpasswordresetconfirmationnotification,notificationservice,sendpasswordresetconfirmationnotification,0,0,0,0,1,0,0,0,0
notificationservice::sendpasswordresetemail,notificationservice,sendpasswordresetemail,1,0,1,0,1,1,0,0,1
notificationservice::sendpasswordresetinstructions,notificationservice,sendpasswordresetinstructions,0,0,0,1,0,0,0,0,0
notificationservice::sendpasswordresetlink,notificationservice,sendpasswordresetlink,1,1,1,1,1,1,1,0,1
notificationservice::sendpasswordresetnotification,notificationservice,sendpasswordresetnotification,0,0,0,0,1,0,0,0,0
notificationservice::sendpasswordresetrequest,notificationservice,sendpasswordresetrequest,0,0,0,0,1,0,0,0,0
notificationservice::sendprovideralert,notificationservice,sendprovideralert,0,0,1,0,0,0,0,0,0
notificationservice::sendproviderprofilechangenotification,notificationservice,sendproviderprofilechangenotification,0,0,0,0,1,0,0,0,0
notificationservice::sendproviderprofileupdatenotification,notificationservice,sendproviderprofileupdatenotification,0,0,0,0,1,0,0,0,0
notificationservice::sendproviderstatuschangenotification,notificationservice,sendproviderstatuschangenotification,0,0,0,0,1,1,0,0,0
notificationservice::sendproviderupdatenotification,notificationservice,sendproviderupdatenotification,0,0,0,0,0,1,0,0,0
notificationservice::sendregistrationconfirmation,notificationservice,sendregistrationconfirmation,1,1,1,0,1,1,0,0,0
notificationservice::sendregistrationsuccess,notificationservice,sendregistrationsuccess,0,1,0,0,1,0,0,0,0
notificationservice::sendregistrationsuccessnotification,notificationservice,sendregistrationsuccessnotification,0,0,0,0,1,0,0,0,0
notificationservice::sendrequestaccepted,notificationservice,sendrequestaccepted,0,1,0,0,0,0,0,0,0
notificationservice::sendrequestacceptednotification,notificationservice,sendrequestacceptednotification,0,0,0,0,1,1,0,0,0
notificationservice::sendrequestcancellednotification,notificationservice,sendrequestcancellednotification,0,0,0,0,1,0,0,0,0
notificationservice::sendrequestnotification,notificationservice,sendrequestnotification,0,0,0,0,0,0,0,0,1
notificationservice::sendrequeststatusupdate,notificationservice,sendrequeststatusupdate,0,0,1,0,1,0,0,0,0
notificationservice::sendresetconfirmation,notificationservice,sendresetconfirmation,0,0,1,0,0,0,0,0,0
notificationservice::sendresetlink,notificationservice,sendresetlink,1,0,0,0,0,0,0,0,0
notificationservice::sendresetpassword,notificationservice,sendresetpassword,1,0,0,0,0,0,0,0,0
notificationservice::sendrolechangenotification,notificationservice,sendrolechangenotification,0,1,0,0,0,0,0,0,0
notificationservice::sendservicerequestacceptednotification,notificationservice,sendservicerequestacceptednotification,0,0,0,0,1,0,0,0,0
notificationservice::sendstatusalert,notificationservice,sendstatusalert,0,0,0,1,0,0,0,0,0
notificationservice::sendstatusupdate,notificationservice,sendstatusupdate,0,0,0,0,0,0,0,0,1
notificationservice::sendtransportaccepted,notificationservice,sendtransportaccepted,0,1,0,0,0,0,0,0,0
notificationservice::sendverificationemail,notificationservice,sendverificationemail,1,1,1,1,1,1,1,0,1
notificationtemplate::formattemplate,notificationtemplate,formattemplate,0,0,1,0,0,0,0,0,0
notificationtemplate::getformattedcontent,notificationtemplate,getformattedcontent,0,0,1,0,0,0,0,0,0
notificationtemplate::gettemplate,notificationtemplate,gettemplate,0,0,1,0,0,0,0,0,0
notificationtemplate::gettemplatefortype,notificationtemplate,gettemplatefortype,0,0,1,0,0,0,0,0,0
notificationtemplate::localizecontent,notificationtemplate,localizecontent,0,0,0,1,0,0,0,0,0
notificationtemplate::parsetemplate,notificationtemplate,parsetemplate,0,0,1,0,0,0,0,0,0
notificationtemplate::render,notificationtemplate,render,0,0,1,0,0,0,0,0,0
notificationtemplate::rendertemplate,notificationtemplate,rendertemplate,0,0,1,0,0,0,0,0,0
notificationtemplate::sendnotification,notificationtemplate,sendnotification,0,0,0,0,0,0,1,0,0
openinghours::coverstimestamp,openinghours,coverstimestamp,0,0,0,1,0,0,0,0,0
openinghours::isavailableat,openinghours,isavailableat,0,0,1,0,0,0,0,0,0
openinghours::isopen,openinghours,isopen,0,0,1,0,0,0,1,0,0
openinghours::isopenat,openinghours,isopenat,0,0,1,0,0,0,0,0,0
openinghours::isvalid,openinghours,isvalid,0,0,1,0,1,0,0,0,0
openinghours::isvalidschedule,openinghours,isvalidschedule,0,0,1,0,0,0,0,0,0
openinghours::matchesday,openinghours,matchesday,0,0,0,1,0,0,0,0,0
openinghours::validate,openinghours,validate,0,0,0,1,1,0,0,0,0
openinghours::validateopeninghours,openinghours,validateopeninghours,0,0,1,0,0,0,0,0,0
openinghours::validateoperatinghours,openinghours,validateoperatinghours,0,0,0,0,0,0,1,0,1
openinghours::validatetimerange,openinghours,validatetimerange,0,0,0,1,0,0,0,0,0
openinghours::validatetimeslots,openinghours,validatetimeslots,0,0,0,1,0,0,0,0,0
platformmanager::assignuserrole,platformmanager,assignuserrole,1,0,0,0,0,0,1,0,0
platformmanager::managecollectionpoints,platformmanager,managecollectionpoints,1,0,0,0,0,0,1,0,0
platformmanager::manageservicelistings,platformmanager,manageservicelistings,0,0,0,0,0,0,1,0,0
platformmanager::manageserviceproviders,platformmanager,manageserviceproviders,1,0,0,0,0,0,1,0,0
platformmanager::manageservices,platformmanager,manageservices,1,0,0,0,0,0,0,0,0
product::applyupdate,product,applyupdate,0,1,0,0,0,0,0,0,0
product::applyupdates,product,applyupdates,0,1,0,0,0,0,0,0,0
product::approvelisting,product,approvelisting,0,0,0,0,1,0,0,0,0
product::archive,product,archive,0,0,1,0,0,0,0,0,0
product::archivelisting,product,archivelisting,0,0,1,1,1,0,0,0,0
product::calculatesustainabilityscore,product,calculatesustainabilityscore,0,0,1,0,0,0,0,0,0
product::checkduplicatelisting,product,checkduplicatelisting,0,0,0,0,0,0,0,0,1
product::createandpublishlisting,product,createandpublishlisting,0,0,0,0,1,0,0,0,0
product::createdraft,product,createdraft,0,1,0,0,0,0,0,0,0
product::createlisting,product,createlisting,1,1,1,1,1,0,0,0,1
product::createproductlisting,product,createproductlisting,0,0,0,0,0,0,0,0,1
product::displaydetails,product,displaydetails,0,0,0,0,0,1,0,0,0
product::editlisting,product,editlisting,1,0,0,0,0,0,1,0,1
product::editproduct,product,editproduct,0,0,0,0,0,0,0,1,0
product::editproductlisting,product,editproductlisting,0,0,0,0,0,0,1,0,0
product::findbyfilter,product,findbyfilter,0,1,0,0,0,0,0,0,0
product::list,product,list,0,0,0,0,0,0,1,0,0
product::listlistings,product,listlistings,0,0,0,0,0,1,0,0,0
product::listproduct,product,listproduct,1,0,0,0,0,1,1,1,0
product::publish,product,publish,0,1,1,1,1,1,0,0,1
product::publishlisting,product,publishlisting,1,1,1,1,1,1,0,0,1
product::recordlistingupdate,product,recordlistingupdate,0,0,1,0,0,0,0,0,0
product::recordupdatetimestamp,product,recordupdatetimestamp,0,0,1,0,1,0,0,0,0
product::rejectlisting,product,rejectlisting,0,0,1,0,1,0,0,0,0
product::republish,product,republish,0,0,0,0,0,0,0,0,1
product::reviselisting,product,reviselisting,0,0,0,0,1,0,0,0,0
product::searchproducts,product,searchproducts,0,0,0,0,0,1,0,0,0
product::setcategory,product,setcategory,0,0,0,0,0,1,0,0,0
product::setdescription,product,setdescription,0,0,0,0,0,1,0,0,0
product::setinventory,product,setinventory,0,0,0,0,0,1,0,0,0
product::setlisteddate,product,setlisteddate,0,0,0,0,0,0,0,0,1
product::setname,product,setname,0,0,0,0,0,1,0,0,0
product::submitforpublication,product,submitforpublication,0,0,0,0,1,0,0,0,0
product::submitlisting,product,submitlisting,1,0,0,0,0,0,0,0,0
product::update,product,update,0,0,1,0,0,0,0,0,0
product::updatecategory,product,updatecategory,0,0,0,0,0,1,0,0,0
product::updatedescription,product,updatedescription,0,0,0,0,0,1,0,0,0
product::updatedetails,product,updatedetails,0,1,0,1,1,1,0,0,1
product::updateinventory,product,updateinventory,0,0,1,1,1,1,0,0,0
product::updatelastmodified,product,updatelastmodified,0,0,1,0,0,0,0,0,0
product::updatelisting,product,updatelisting,1,1,1,0,0,1,1,0,1
product::updatelistingdetails,product,updatelistingdetails,1,0,0,1,1,0,0,0,1
product::updatelistingstatus,product,updatelistingstatus,0,0,0,1,1,0,0,0,0
product::updatename,product,updatename,0,0,0,0,0,1,0,0,0
product::updateproduct,product,updateproduct,1,0,0,0,0,1,0,0,0
product::updateproductdetails,product,updateproductdetails,0,0,0,1,0,1,0,1,1
product::updateproductlisting,product,updateproductlisting,0,0,0,0,0,0,0,1,0
product::updatesustainabilityscore,product,updatesustainabilityscore,0,0,0,1,0,0,0,0,0
product::validate,product,validate,0,0,0,1,0,1,0,0,0
product::validateandpublish,product,validateandpublish,0,0,0,0,0,0,0,0,1
product::validateandupdate,product,validateandupdate,0,0,0,0,0,1,0,0,0
product::validatecategory,product,validatecategory,0,0,0,1,0,0,0,0,0
product::validatecategoryrules,product,validatecategoryrules,0,0,0,1,0,0,0,0,0
product::validatedetails,product,validatedetails,0,0,0,0,1,0,0,0,0
product::validatelisting,product,validatelisting,0,1,1,0,0,0,0,0,1
product::validatelistingdata,product,validatelistingdata,0,1,0,0,0,0,0,0,0
product::validatelistingdetails,product,validatelistingdetails,0,1,0,1,1,0,0,0,1
product::validateproduct,product,validateproduct,0,0,1,0,0,0,0,0,0
product::validateproductdata,product,validateproductdata,0,0,1,0,0,0,0,0,0
product::validateproductdetails,product,validateproductdetails,0,0,1,1,0,1,0,0,1
product::validateproductupdates,product,validateproductupdates,0,0,0,0,0,0,0,0,1
product::validateupdate,product,validateupdate,0,1,0,0,0,0,0,0,0
product::validateupdateddetails,product,validateupdateddetails,0,0,0,0,0,1,0,0,0
product::validateupdatedlisting,product,validateupdatedlisting,0,1,0,0,0,0,0,0,0
product::validateupdates,product,validateupdates,0,0,0,0,0,0,0,0,1
rolemanager::approveserviceprovider,rolemanager,approveserviceprovider,0,1,0,0,0,0,0,0,0
