Model,Run,File,Class,MethodName,Signature,Has_UC_Annotation,UC_References,UC_Action,Best_Match_Action,SimilarityScore
ChatGPT-4o,1,ChatGPT-4o_run1.json,WasteJourney,trackByCode,+ trackByCode (code : String) : WasteJourney,True,10,Retrieve waste journey by tracking code,Get waste journey status,0.6686175465583801
ChatGPT-4o,1,ChatGPT-4o_run1.json,WasteJourney,updateStage,+ updateStage (stage : Stage),True,8,Update current stage of waste journey,Check logistics feasibility,0.5153834819793701
ChatGPT-4o,10,ChatGPT-4o_run10.json,CollectionPoint,updateLocation,"+ updateLocation (name : String, type : PointType, hours : OpeningHours[]) : ValidationResult",True,20,,Edit location,0.6927276849746704
ChatGPT-4o,10,ChatGPT-4o_run10.json,NotificationService,alertProvider,"+ alertProvider (to : ServiceProvider, type : NotificationType)",False,,,Notify provider of status change,0.4263920187950134
ChatGPT-4o,10,ChatGPT-4o_run10.json,NotificationService,sendNotification,"+ sendNotification (to : UserProfile, type : NotificationType)",False,,,Send verification email,0.4980415105819702
ChatGPT-4o,10,ChatGPT-4o_run10.json,Product,createListing,+ createListing () : ValidationResult,True,5,,List product,0.5066899061203003
ChatGPT-4o,10,ChatGPT-4o_run10.json,Product,updateListingDetails,"+ updateListingDetails (name : String, description : String, category : ProductCategory, inventory : Integer) : ValidationResult",True,13,,Update product listing,0.7242712378501892
ChatGPT-4o,10,ChatGPT-4o_run10.json,RoleManager,assignRole,"+ assignRole (user : UserProfile, role : UserRole) : ValidationResult",True,21,,Assign role,0.7166317701339722
ChatGPT-4o,10,ChatGPT-4o_run10.json,SearchFilter,applyFilters,+ applyFilters (products : Product[]) : Product[],True,14,,Check provider capacity for collection,0.13122305274009705
ChatGPT-4o,10,ChatGPT-4o_run10.json,ServiceProvider,acceptCollectionRequest,+ acceptCollectionRequest (requestId : UUID),True,8,,Accept collection request,0.8339195251464844
ChatGPT-4o,10,ChatGPT-4o_run10.json,ServiceProvider,acceptTransportRequest,+ acceptTransportRequest (requestId : UUID),True,9,,Accept transport request,0.7882015705108643
ChatGPT-4o,10,ChatGPT-4o_run10.json,ServiceProvider,completeRequest,+ completeRequest (requestId : UUID),False,,,Update request status to completed,0.4623044729232788
ChatGPT-4o,10,ChatGPT-4o_run10.json,ServiceProvider,updateServiceProfile,"+ updateServiceProfile (vehicleTypes : VehicleType[], availability : OpeningHours[]) : ValidationResult",True,19,,Update service provider profile by admin,0.6850565075874329
ChatGPT-4o,10,ChatGPT-4o_run10.json,ServiceRequest,cancelRequest,+ cancelRequest (user : UserProfile),True,12,,Confirm cancellation (notification),0.640204131603241
ChatGPT-4o,10,ChatGPT-4o_run10.json,ServiceRequest,markCompleted,+ markCompleted (),False,,,Update request status to completed,0.47383636236190796
ChatGPT-4o,10,ChatGPT-4o_run10.json,ServiceRequest,scheduleRequest,"+ scheduleRequest (time : TimeRange, provider : ServiceProvider)",False,,,Schedule collection service,0.5508695840835571
ChatGPT-4o,10,ChatGPT-4o_run10.json,UserAccount,activateAccount,+ activateAccount (),True,1,,Activate account,0.7768272161483765
ChatGPT-4o,10,ChatGPT-4o_run10.json,UserAccount,createAccount,+ createAccount () : ValidationResult,True,1,,Create an unverified user account,0.5838928818702698
ChatGPT-4o,10,ChatGPT-4o_run10.json,UserAccount,deactivateAccount,+ deactivateAccount (reason : String),True,15,,Deactivate account,0.758351743221283
ChatGPT-4o,10,ChatGPT-4o_run10.json,UserAccount,lockAccount,+ lockAccount (),True,2,,Deactivate account,0.5353866219520569
ChatGPT-4o,10,ChatGPT-4o_run10.json,UserAccount,unlockAccount,+ unlockAccount (),True,2,,Deactivate account,0.525833249092102
ChatGPT-4o,10,ChatGPT-4o_run10.json,UserCredentials,clearFailedLoginAttempts,+ clearFailedLoginAttempts (),True,2,,Record login timestamp,0.3648468852043152
ChatGPT-4o,10,ChatGPT-4o_run10.json,UserCredentials,generateResetToken,+ generateResetToken (),True,3,,Generate and store password reset token,0.844970703125
ChatGPT-4o,10,ChatGPT-4o_run10.json,UserCredentials,incrementFailedLogin,+ incrementFailedLogin (),True,2,,Record login timestamp,0.4471862018108368
ChatGPT-4o,10,ChatGPT-4o_run10.json,UserCredentials,resetPassword,"+ resetPassword (token : String, newPassword : String) : ValidationResult",True,3,,Send password reset link email,0.6045156717300415
ChatGPT-4o,10,ChatGPT-4o_run10.json,UserCredentials,setPassword,+ setPassword (newPassword : String) : ValidationResult,True,3,,Update password using reset token,0.45819586515426636
ChatGPT-4o,10,ChatGPT-4o_run10.json,UserCredentials,validateLogin,+ validateLogin (password : String) : Boolean,True,2,,Validate credentials,0.5760692358016968
ChatGPT-4o,10,ChatGPT-4o_run10.json,UserProfile,updateProfileDetails,"+ updateProfileDetails (name : String, phone : String, address : Address) : ValidationResult",True,4,,Update user profile,0.7272965312004089
ChatGPT-4o,10,ChatGPT-4o_run10.json,UserProfile,verifyEmail,+ verifyEmail (),True,1,,Verify email,0.7447591423988342
ChatGPT-4o,10,ChatGPT-4o_run10.json,WasteJourney,trackProgress,"+ trackProgress (stage : Stage, location : Address)",True,10,,Get waste journey status,0.42065131664276123
ChatGPT-4o,2,ChatGPT-4o_run2.json,CollectionPoint,updateDetails,"+ updateDetails (name : String, type : PointType, coordinates : Coordinates, hours : OpeningHours[]) : ValidationResult",True,20,,Update service provider details,0.37607622146606445
ChatGPT-4o,2,ChatGPT-4o_run2.json,CollectionRequest,acceptRequest,"+ acceptRequest (provider : ServiceProvider, slot : TimeRange)",True,8,,Accept collection request,0.6810719966888428
ChatGPT-4o,2,ChatGPT-4o_run2.json,CollectionRequest,markAsCollected,+ markAsCollected (),True,8,,Update request status to collected,0.6094991564750671
ChatGPT-4o,2,ChatGPT-4o_run2.json,CollectionRequest,schedule,"+ schedule (vehicle : VehicleType, time : TimeRange, location : Address)",True,6,,Schedule transport,0.4676181972026825
ChatGPT-4o,2,ChatGPT-4o_run2.json,Product,publishListing,+ publishListing () : ValidationResult,True,5,,Update product listing,0.4045472741127014
ChatGPT-4o,2,ChatGPT-4o_run2.json,Product,updateListing,"+ updateListing (name : String, desc : String, category : ProductCategory, inventory : Integer) : ValidationResult",True,13,,Update product listing,0.7553234696388245
ChatGPT-4o,2,ChatGPT-4o_run2.json,RoleManager,assignRole,"+ assignRole (user : UserProfile, role : UserRole) : ValidationResult",True,21,,Assign role,0.7166317701339722
ChatGPT-4o,2,ChatGPT-4o_run2.json,SearchFilter,apply,+ apply () : Product[],True,14,,Submit service request,0.2430708408355713
ChatGPT-4o,2,ChatGPT-4o_run2.json,ServiceRequest,cancelRequest,"+ cancelRequest (by : UserProfile, date : Date)",True,12,,Confirm cancellation (notification),0.640204131603241
ChatGPT-4o,2,ChatGPT-4o_run2.json,TransportRequest,acceptRequest,"+ acceptRequest (provider : ServiceProvider, slot : TimeRange)",True,9,,Accept collection request,0.6810719966888428
ChatGPT-4o,2,ChatGPT-4o_run2.json,TransportRequest,markAsCompleted,+ markAsCompleted (),True,9,,Update request status to completed,0.5858511924743652
ChatGPT-4o,2,ChatGPT-4o_run2.json,TransportRequest,scheduleTransport,"+ scheduleTransport (route : RoutePlan, slot : TimeRange)",True,6,,Schedule transport,0.7399148941040039
ChatGPT-4o,2,ChatGPT-4o_run2.json,UserAccount,deactivate,+ deactivate (reason : String),True,15,,Deactivate account,0.5821720957756042
ChatGPT-4o,2,ChatGPT-4o_run2.json,UserAccount,isEligibleToLogin,+ isEligibleToLogin () : Boolean,True,2,,Validate credentials,0.36728745698928833
ChatGPT-4o,2,ChatGPT-4o_run2.json,UserAccount,lockAccount,+ lockAccount (),True,2,,Deactivate account,0.5353866219520569
ChatGPT-4o,2,ChatGPT-4o_run2.json,UserAccount,logout,+ logout (),True,16,,Deactivate account,0.3223247230052948
ChatGPT-4o,2,ChatGPT-4o_run2.json,UserAccount,recordLogin,+ recordLogin (date : Date),True,2,,Record login timestamp,0.6387457251548767
ChatGPT-4o,2,ChatGPT-4o_run2.json,UserAccount,registerAccount,"+ registerAccount (email : String, password : String, profile : UserProfile) : ValidationResult",True,1,,Create an unverified user account,0.5851584672927856
ChatGPT-4o,2,ChatGPT-4o_run2.json,UserAccount,unlockAccount,+ unlockAccount (),True,2,,Deactivate account,0.525833249092102
ChatGPT-4o,2,ChatGPT-4o_run2.json,UserAccount,verifyEmail,+ verifyEmail (),True,1,,Verify email,0.7447591423988342
ChatGPT-4o,2,ChatGPT-4o_run2.json,UserCredentials,generateResetToken,+ generateResetToken (expiration : Date) : String,True,3,,Generate and store password reset token,0.844970703125
ChatGPT-4o,2,ChatGPT-4o_run2.json,UserCredentials,incrementFailedAttempts,+ incrementFailedAttempts (),True,2,,Validate password strength,0.2248901128768921
ChatGPT-4o,2,ChatGPT-4o_run2.json,UserCredentials,isResetTokenValid,+ isResetTokenValid (token : String) : Boolean,True,3,,Generate and store password reset token,0.6408920884132385
ChatGPT-4o,2,ChatGPT-4o_run2.json,UserCredentials,resetFailedAttempts,+ resetFailedAttempts (),True,2,,Send password reset link email,0.4087410569190979
ChatGPT-4o,2,ChatGPT-4o_run2.json,UserCredentials,resetPassword,+ resetPassword (newPassword : String) : ValidationResult,True,3,,Send password reset link email,0.6045156717300415
ChatGPT-4o,2,ChatGPT-4o_run2.json,UserCredentials,validatePassword,+ validatePassword (inputPassword : String) : Boolean,True,2,,Validate password strength,0.7000541090965271
ChatGPT-4o,2,ChatGPT-4o_run2.json,UserProfile,markEmailVerified,+ markEmailVerified (date : Date),True,1,,Verify email,0.6237873435020447
ChatGPT-4o,2,ChatGPT-4o_run2.json,UserProfile,updateProfile,"+ updateProfile (name : String, phone : String, address : Address) : ValidationResult",True,4,,Update user profile,0.759865403175354
ChatGPT-4o,2,ChatGPT-4o_run2.json,WasteJourney,updateLocation,+ updateLocation (address : Address),True,10,,Edit location,0.6927276849746704
ChatGPT-4o,2,ChatGPT-4o_run2.json,WasteJourney,updateStage,+ updateStage (stage : Stage),True,10,,Validate provider updates,0.32177263498306274
ChatGPT-4o,3,ChatGPT-4o_run3.json,CollectionPoint,createPoint,"+ createPoint (name : String, type : PointType)",True,20,create a new collection point,Create collection point,0.8381111025810242
ChatGPT-4o,3,ChatGPT-4o_run3.json,CollectionPoint,updatePoint,+ updatePoint (details : String),True,20,update collection/recycling point info,Create collection point,0.6129699945449829
ChatGPT-4o,3,ChatGPT-4o_run3.json,CollectionRequest,acceptRequest,"+ acceptRequest (provider : ServiceProvider, time : TimeRange)",True,8,accept collection request and schedule,Accept collection request,0.7337521910667419
ChatGPT-4o,3,ChatGPT-4o_run3.json,CollectionRequest,markCollected,+ markCollected (),True,8,update request status to Collected,Update request status to collected,0.812235414981842
ChatGPT-4o,3,ChatGPT-4o_run3.json,NotificationService,notifyProvider,"+ notifyProvider (provider : ServiceProvider, type : NotificationType)",True,8,alert provider of new request,Notify provider of status change,0.6306230425834656
ChatGPT-4o,3,ChatGPT-4o_run3.json,NotificationService,sendDeactivationEmail,+ sendDeactivationEmail (user : UserProfile),True,15,notify user of account deactivation,Send account deactivation confirmation email,0.8055530190467834
ChatGPT-4o,3,ChatGPT-4o_run3.json,NotificationService,sendNotification,"+ sendNotification (user : UserProfile, type : NotificationType)",True,1,send registration/verification email,Confirm successful registration,0.66981041431427
ChatGPT-4o,3,ChatGPT-4o_run3.json,NotificationService,sendResetPassword,+ sendResetPassword (user : UserProfile),True,3,send password reset email,Send password reset link email,0.8552380800247192
ChatGPT-4o,3,ChatGPT-4o_run3.json,Product,createListing,+ createListing (user : UserProfile),True,5,create product listing,List product,0.5974852442741394
ChatGPT-4o,3,ChatGPT-4o_run3.json,Product,updateListing,+ updateListing (details : String),True,13,update existing product listing,Update product listing,0.8616858124732971
ChatGPT-4o,3,ChatGPT-4o_run3.json,RoleManager,assignRole,"+ assignRole (user : UserProfile, role : UserRole)",True,21,assign user role,Assign role,0.8440088629722595
ChatGPT-4o,3,ChatGPT-4o_run3.json,SearchFilter,search,+ search () : Product[],True,14,filter and search product listings,List product,0.39907106757164
ChatGPT-4o,3,ChatGPT-4o_run3.json,ServiceProvider,updateProviderProfile,+ updateProviderProfile (profile : UserProfile),True,19,update service provider profile,Update service provider details,0.8064682483673096
ChatGPT-4o,3,ChatGPT-4o_run3.json,ServiceRequest,cancelRequest,"+ cancelRequest (user : UserProfile, date : Date)",True,12,cancel a service request,Cancel service request,0.7851915955543518
ChatGPT-4o,3,ChatGPT-4o_run3.json,ServiceRequest,submitRequest,+ submitRequest (requester : UserProfile),True,6,submit transport/collection request,Submit service request,0.635473370552063
ChatGPT-4o,3,ChatGPT-4o_run3.json,ServiceRequest,viewStatus,+ viewStatus () : RequestStatus,True,11,retrieve current status of service request,Get service request status,0.8229477405548096
ChatGPT-4o,3,ChatGPT-4o_run3.json,TransportRequest,acceptRequest,"+ acceptRequest (provider : ServiceProvider, time : TimeRange, route : RoutePlan)",True,9,accept transport request and schedule,Accept transport request,0.7521281838417053
ChatGPT-4o,3,ChatGPT-4o_run3.json,TransportRequest,markCompleted,+ markCompleted (),True,9,mark transport request as completed,Update request status to completed,0.6796653270721436
ChatGPT-4o,3,ChatGPT-4o_run3.json,UserAccount,activateAccount,+ activateAccount (),True,1,mark email as verified and activate account,Activate account,0.7171161770820618
ChatGPT-4o,3,ChatGPT-4o_run3.json,UserAccount,createAccount,"+ createAccount (email : String, password : String)",True,1,create user account with unverified email,Create an unverified user account,0.8078946471214294
ChatGPT-4o,3,ChatGPT-4o_run3.json,UserAccount,deactivate,+ deactivate (reason : String),True,15,deactivate user account,Deactivate account,0.8172471523284912
ChatGPT-4o,3,ChatGPT-4o_run3.json,UserAccount,lockAccount,+ lockAccount (reason : String),True,2,lock account after failed login attempts,Deactivate account,0.39014947414398193
ChatGPT-4o,3,ChatGPT-4o_run3.json,UserAccount,recordLogin,+ recordLogin (date : Date),True,2,record login timestamp,Record login timestamp,0.8733658194541931
ChatGPT-4o,3,ChatGPT-4o_run3.json,UserCredentials,generateResetToken,+ generateResetToken () : String,True,3,generate password reset token,Generate and store password reset token,0.929257869720459
ChatGPT-4o,3,ChatGPT-4o_run3.json,UserCredentials,incrementFailedAttempts,+ incrementFailedAttempts (),True,2,increment failed login attempts,Record login timestamp,0.38921359181404114
ChatGPT-4o,3,ChatGPT-4o_run3.json,UserCredentials,resetFailedAttempts,+ resetFailedAttempts (),True,2,reset failed login counter on success,Update password using reset token,0.41714516282081604
ChatGPT-4o,3,ChatGPT-4o_run3.json,UserCredentials,updatePassword,+ updatePassword (newPassword : String),True,3,update password,Update password using reset token,0.6220118403434753
ChatGPT-4o,3,ChatGPT-4o_run3.json,UserCredentials,validateCredentials,"+ validateCredentials (email : String, password : String) : boolean",True,2,validate email and password,Validate credentials,0.823043942451477
ChatGPT-4o,3,ChatGPT-4o_run3.json,UserProfile,updateProfile,"+ updateProfile (name : String, phone : String, address : Address)",True,4,update user profile information,Update user profile,0.8558428287506104
ChatGPT-4o,3,ChatGPT-4o_run3.json,UserProfile,verifyEmail,+ verifyEmail (date : Date),True,1,confirm email verification,Verify email,0.767379879951477
ChatGPT-4o,3,ChatGPT-4o_run3.json,WasteJourney,trackJourney,+ trackJourney (code : String) : WasteJourney,True,10,retrieve journey status by tracking code,Get waste journey status,0.7761917114257812
ChatGPT-4o,4,ChatGPT-4o_run4.json,CollectionPoint,updateLocation,"+ updateLocation (name : String, type : PointType, position : Coordinates, operatingHours : OpeningHours[]) : ValidationResult",True,20,,Edit location,0.6927276849746704
ChatGPT-4o,4,ChatGPT-4o_run4.json,CollectionRequest,acceptRequest,"+ acceptRequest (provider : ServiceProvider, scheduledTime : TimeRange)",True,8,,Accept collection request,0.6810719966888428
ChatGPT-4o,4,ChatGPT-4o_run4.json,CollectionRequest,markCollected,+ markCollected (),True,8,,Update request status to collected,0.4761989116668701
ChatGPT-4o,4,ChatGPT-4o_run4.json,CollectionRequest,submitCollectionRequest,"+ submitCollectionRequest (requester : UserProfile, scheduledTime : TimeRange, location : Address, vehicleType : VehicleType, quantity : Integer, categories : ProductCategory[]) : ValidationResult",True,6,,Accept collection request,0.6973044276237488
ChatGPT-4o,4,ChatGPT-4o_run4.json,Product,createListing,"+ createListing (name : String, description : String, category : ProductCategory, inventory : Integer) : ValidationResult",True,5,,List product,0.5066899061203003
ChatGPT-4o,4,ChatGPT-4o_run4.json,Product,publishListing,+ publishListing (),True,5,,Update product listing,0.4045472741127014
ChatGPT-4o,4,ChatGPT-4o_run4.json,Product,updateListing,"+ updateListing (name : String, description : String, category : ProductCategory, inventory : Integer) : ValidationResult",True,13,,Update product listing,0.7553234696388245
ChatGPT-4o,4,ChatGPT-4o_run4.json,RoleManager,updateUserRole,"+ updateUserRole (userId : UUID, newRole : UserRole) : ValidationResult",True,21,,Assign role,0.662059485912323
ChatGPT-4o,4,ChatGPT-4o_run4.json,SearchFilter,filterProducts,+ filterProducts () : List<Product>,True,14,,List product,0.34097564220428467
ChatGPT-4o,4,ChatGPT-4o_run4.json,ServiceProvider,updateProviderProfile,"+ updateProviderProfile (companyName : String, profile : UserProfile) : ValidationResult",True,19,,Update service provider profile by admin,0.7527912855148315
ChatGPT-4o,4,ChatGPT-4o_run4.json,ServiceRequest,cancelRequest,+ cancelRequest (by : UserProfile),True,12,,Confirm cancellation (notification),0.640204131603241
ChatGPT-4o,4,ChatGPT-4o_run4.json,TransportRequest,acceptRequest,"+ acceptRequest (provider : ServiceProvider, scheduledTime : TimeRange)",True,9,,Accept collection request,0.6810719966888428
ChatGPT-4o,4,ChatGPT-4o_run4.json,TransportRequest,markCompleted,+ markCompleted (),True,9,,Update request status to completed,0.47383636236190796
ChatGPT-4o,4,ChatGPT-4o_run4.json,TransportRequest,submitTransportRequest,"+ submitTransportRequest (requester : UserProfile, scheduledTime : TimeRange, routePlan : RoutePlan, quantity : Integer, categories : ProductCategory[]) : ValidationResult",True,6,,Accept transport request,0.7023800611495972
ChatGPT-4o,4,ChatGPT-4o_run4.json,UserAccount,activateAccount,+ activateAccount (),True,1,,Activate account,0.7768272161483765
ChatGPT-4o,4,ChatGPT-4o_run4.json,UserAccount,deactivateAccount,+ deactivateAccount (reason : String),True,15,,Deactivate account,0.758351743221283
ChatGPT-4o,4,ChatGPT-4o_run4.json,UserAccount,lockAccount,+ lockAccount (),True,2,,Deactivate account,0.5353866219520569
ChatGPT-4o,4,ChatGPT-4o_run4.json,UserAccount,recordLoginTimestamp,+ recordLoginTimestamp (),True,2,,Record login timestamp,0.8483725786209106
ChatGPT-4o,4,ChatGPT-4o_run4.json,UserAccount,registerAccount,"+ registerAccount (email : String, password : String) : ValidationResult",True,1,,Create an unverified user account,0.5851584672927856
ChatGPT-4o,4,ChatGPT-4o_run4.json,UserCredentials,generateResetToken,+ generateResetToken () : String,True,3,,Generate and store password reset token,0.844970703125
ChatGPT-4o,4,ChatGPT-4o_run4.json,UserCredentials,resetPassword,+ resetPassword (newPassword : String) : ValidationResult,True,3,,Send password reset link email,0.6045156717300415
ChatGPT-4o,4,ChatGPT-4o_run4.json,UserCredentials,validateCredentials,"+ validateCredentials (email : String, password : String) : ValidationResult",True,2,,Validate credentials,0.7220321893692017
ChatGPT-4o,4,ChatGPT-4o_run4.json,UserCredentials,validateResetToken,+ validateResetToken (token : String) : Boolean,True,3,,Generate and store password reset token,0.6971753835678101
ChatGPT-4o,4,ChatGPT-4o_run4.json,UserProfile,updateProfileInfo,"+ updateProfileInfo (name : String, phoneNumber : String, address : Address) : ValidationResult",True,4,,Update user profile,0.7136423587799072
ChatGPT-4o,4,ChatGPT-4o_run4.json,UserProfile,verifyEmail,+ verifyEmail (),True,1,,Verify email,0.7447591423988342
ChatGPT-4o,4,ChatGPT-4o_run4.json,WasteJourney,trackByCode,+ trackByCode (code : String) : WasteJourney,True,10,,Get waste journey status,0.31555259227752686
ChatGPT-4o,5,ChatGPT-4o_run5.json,CollectionPoint,createLocation,"+ createLocation (name : String, facilityType : String, address : String, operatingHours : String)",True,20,create new collection/recycling location,Create collection point,0.515856146812439
ChatGPT-4o,5,ChatGPT-4o_run5.json,CollectionPoint,deactivateLocation,+ deactivateLocation (),True,20,deactivate collection/recycling location,Edit location,0.4971782863140106
ChatGPT-4o,5,ChatGPT-4o_run5.json,CollectionPoint,updateLocation,"+ updateLocation (name : String, facilityType : String, address : String, operatingHours : String)",True,20,update existing location details,Edit location,0.7521031498908997
ChatGPT-4o,5,ChatGPT-4o_run5.json,PlatformManager,assignUserRole,"+ assignUserRole (user : User, role : UserRole)",True,21,assign or update user roles,Assign role,0.7923885583877563
ChatGPT-4o,5,ChatGPT-4o_run5.json,PlatformManager,manageCollectionPoints,+ manageCollectionPoints (),True,20,"add, update, or deactivate collection/recycling locations",Create collection point,0.5610231757164001
ChatGPT-4o,5,ChatGPT-4o_run5.json,PlatformManager,manageServiceProviders,+ manageServiceProviders (),True,18,oversee and manage service provider profiles,Update service provider profile by admin,0.6129307150840759
ChatGPT-4o,5,ChatGPT-4o_run5.json,PlatformManager,manageServices,+ manageServices (),True,17,oversee and manage platform services,Update service provider profile by admin,0.3462657034397125
ChatGPT-4o,5,ChatGPT-4o_run5.json,Product,listProduct,"+ listProduct (name : String, category : String, inventory : int, description : String)",True,5,create new product listing,List product,0.6691569089889526
ChatGPT-4o,5,ChatGPT-4o_run5.json,Product,updateProduct,"+ updateProduct (name : String, category : String, inventory : int, description : String)",True,13,update existing product listing,Update product listing,0.8439172506332397
ChatGPT-4o,5,ChatGPT-4o_run5.json,ServiceProvider,acceptRequest,"+ acceptRequest (request : ServiceRequest, scheduledDate : DateTime)",True,8,accept and schedule service request,Notify user of request acceptance,0.626577615737915
ChatGPT-4o,5,ChatGPT-4o_run5.json,ServiceProvider,completeRequest,+ completeRequest (request : ServiceRequest),True,8,mark service request as completed,Update request status to completed,0.7582172155380249
ChatGPT-4o,5,ChatGPT-4o_run5.json,ServiceProvider,updateProfile,"+ updateProfile (companyName : String, serviceAreas : List<String>, vehicleTypes : List<String>, availabilitySchedule : Schedule)",True,19,update service provider profile,Update service provider profile by admin,0.7998449802398682
ChatGPT-4o,5,ChatGPT-4o_run5.json,ServiceRequest,cancelRequest,+ cancelRequest (),True,12,cancel pending service request,Cancel service request,0.7692073583602905
ChatGPT-4o,5,ChatGPT-4o_run5.json,ServiceRequest,createRequest,"+ createRequest (serviceType : ServiceType, details : String)",True,6,create new service request,Submit service request,0.6952304840087891
